name,clinicaltrials_intervention_type,nct_ids,trial_count,classification,pipeline_scope,exclusion_reason,confidence
Dementia Education,OTHER,NCT04247347,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Docosahexaenoic acid,DIETARY_SUPPLEMENT,NCT02541929,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
EVOO-phenolics dietary supplement,DIETARY_SUPPLEMENT,NCT07741773,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Educational Materials,OTHER,NCT05147428; NCT06368115,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Educational Materials - Patient & Clinician,OTHER,NCT03984396,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Educational materials on the Alzheimer's disease assay,OTHER,NCT07099001,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Epigallocatechin-3-gallate (EGCG),DIETARY_SUPPLEMENT,NCT01699711,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Erinacine A-enriched Hericium Erinaceus Mycelia,DIETARY_SUPPLEMENT,NCT04065061,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Extra virgin olive oil,DIETARY_SUPPLEMENT,NCT05929924,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
FMD1 (LNT22-017-1),DIETARY_SUPPLEMENT,NCT06682767,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Facilitate tDCS + CR,OTHER,NCT02959502,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Fasting-Mimicking Diet ProlonADTM,DIETARY_SUPPLEMENT,NCT05480358,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Gait analysis via vicon- and app-system,DIAGNOSTIC_TEST,NCT07613957,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Genistein,DIETARY_SUPPLEMENT,NCT01982578; NCT07385937,2,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Getting Off App,OTHER,NCT03884946,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Ginkgo Biloba Extract 761,DIETARY_SUPPLEMENT,NCT07287852,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Grape Powder,DIETARY_SUPPLEMENT,NCT03361410,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
HD-tDCS,OTHER,NCT04599764,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Health App Recommendation Tool (HART),OTHER,NCT07216716,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Health Education,OTHER,NCT04559789,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Health Education Manual,OTHER,NCT05407272,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Heavy Cream,DIETARY_SUPPLEMENT,NCT04692441,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
HellenCare,DIETARY_SUPPLEMENT,NCT06895525,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Hetero-questionnaires,OTHER,NCT05558709,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
"Hormones and Medications tailored to lab tests, combined with devices that support stress management and brain exercises",COMBINATION_PRODUCT,NCT05894954,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Implementation of elleFA smartphone application,OTHER,NCT06452407,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Interactive digital platform,OTHER,NCT03578991,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Interval strength training,OTHER,NCT07022431,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Juice Plus+,DIETARY_SUPPLEMENT,NCT04656860,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Ketogenic Supplement,DIETARY_SUPPLEMENT,NCT06767124,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Ketogenic diet,DIETARY_SUPPLEMENT,NCT06681948,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Ketogenic medium chain triglyceride drink (MCT drink),DIETARY_SUPPLEMENT,NCT02912936,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Ketone Ester drink,DIETARY_SUPPLEMENT,NCT04421014,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Laughter Therapy,OTHER,NCT02750982,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Life story questionnaire,OTHER,NCT05827276,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Lipid drink,DIETARY_SUPPLEMENT,NCT05218018,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Lithia water,DIETARY_SUPPLEMENT,NCT02204969,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Longevinex brand resveratrol supplement,DIETARY_SUPPLEMENT,NCT00743743,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
MMFS-205-SR,DIETARY_SUPPLEMENT,NCT03531684,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Magnesium sulfate,DIETARY_SUPPLEMENT,NCT03038334,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Magtein,DIETARY_SUPPLEMENT,NCT02210286,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
MitoQ,DIETARY_SUPPLEMENT,NCT03514875,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Mixed functional foods supplementation,DIETARY_SUPPLEMENT,NCT04279418,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Mobile app,OTHER,NCT05827094,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Mobile application,OTHER,NCT04137016,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Multi-sensory supportive care,OTHER,NCT01819714,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Multidimensional fragility index questionnaire RAI-Home Care,OTHER,NCT03360552,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Music Experience Questionnaire,OTHER,NCT03342326,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Music Therapy,OTHER,NCT05125536; NCT07542535,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
NVP-NK4146,DIETARY_SUPPLEMENT,NCT06761066,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Neuropsychological Assessments and Other Questionnaires,DIAGNOSTIC_TEST,NCT06896201,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Nicotinamide Riboside (NR),DIETARY_SUPPLEMENT,NCT07741071,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Nicotinamide Riboside dose escalation (up to 3000 mg daily in total),DIETARY_SUPPLEMENT,NCT05617508,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Nicotinamide Riboside supplementation 1000mg daily in total,DIETARY_SUPPLEMENT,NCT05617508,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Nutriceutical formulation,DIETARY_SUPPLEMENT,NCT01320527,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Nutritional supplementation,DIETARY_SUPPLEMENT,NCT03382353,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Offline supportive care,OTHER,NCT06785857,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Omni-Biotic Stress Repair,DIETARY_SUPPLEMENT,NCT03847714,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Ophthalmological examination & Questionnaire,OTHER,NCT01555827,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Oxaloacetate (OAA),DIETARY_SUPPLEMENT,NCT02063308,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
PREHABILITATION,OTHER,NCT05375292,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
PRJ212,DIETARY_SUPPLEMENT,NCT02991235,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
"Pandora-2 app with low levels of personalization, interaction, monitoring and feedback",OTHER,NCT07185867,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Partnered Rhythmic Rehabilitation (PRR),OTHER,NCT04029623,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Passive music therapy,OTHER,NCT04761497,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Patient Education,OTHER,NCT05565833,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Personalized Transcranial Direct Current Stimulation (tDCS),OTHER,NCT06821568,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Personalized diet,DIETARY_SUPPLEMENT,NCT06199193,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Personalized tDCS,OTHER,NCT04289402,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Phase-locked auditory stimulation (PLAS),OTHER,NCT06669546,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Physical Activity,OTHER,NCT03673722,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Physical Training and cognitive activity (EPC group),OTHER,NCT01553929,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Physical activity (PA),OTHER,NCT03034746,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Physical training,OTHER,NCT03981159,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Physical training (EP group),OTHER,NCT01553929,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Polyamine,DIETARY_SUPPLEMENT,NCT03094546,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Polyphenol Supplement,DIETARY_SUPPLEMENT,NCT06507254; NCT07226674,2,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Precision Medicine Approach,DIETARY_SUPPLEMENT,NCT05894954,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
"Preclinical Alzheimer's Cognitive Composite (PACC), Alzheimer's Disease Assessment Scale-Cognitive Scale (ADAS-Cog), and Functional Assessment Questionnaire (FAQ)",OTHER,NCT03900273,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Pregnant+ app for smartphone,OTHER,NCT02588729,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Probiotic K10,DIETARY_SUPPLEMENT,NCT06019117,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Probiotic supplemented intervention,DIETARY_SUPPLEMENT,NCT03991195,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Protologic and LAnguage adaptation rehabilitation,OTHER,NCT06993285,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Provider Educational Intervention,OTHER,NCT05760521,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Psychoeducational intervention,OTHER,NCT06351800,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Questionnaire and Physical Exam,OTHER,NCT06902753,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Questionnaires,OTHER,NCT03342326; NCT06213766,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
ReBuilder,DIETARY_SUPPLEMENT,NCT03611439,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Receive tDCS+CR,OTHER,NCT02959502,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Recording of smartphone usage data,OTHER,NCT05709210,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Reminiscence therapy,OTHER,NCT06812442,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Remote Ambient Sensor System,OTHER,NCT07120347,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Remote activity monitoring system,OTHER,NCT03665909,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
"Resveratrol with Glucose, and Malate",DIETARY_SUPPLEMENT,NCT00678431,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
SCV09,DIETARY_SUPPLEMENT,NCT06948929,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
SLAB51,DIETARY_SUPPLEMENT,NCT05521477,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Self-administered online CBT plus therapist check in,OTHER,NCT03060200,1,investigational_therapeutic_unverified,Non-Drug Intervention,"name describes a non-drug (digital/behavioral) supportive activity, not a pharmaceutical",high
Silkworm pupa powder,DIETARY_SUPPLEMENT,NCT06770309; NCT06898476; NCT07059871; NCT07638449,4,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Spaced Retrieval Training,OTHER,NCT07086261,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Spermidine Supplementation,DIETARY_SUPPLEMENT,NCT07383311,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Standard Health Education,OTHER,NCT06741865,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Study Supplement,DIETARY_SUPPLEMENT,NCT03841539,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Subjective cognitive decline questionnaire (SCD-Q),DIAGNOSTIC_TEST,NCT06191952; NCT06711952,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Supervised Physical Activity (AMRAP -As Many Repetitions As Possible): Phase 2,OTHER,NCT05862935,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Supervised Physical Activity: Phase 1,OTHER,NCT05862935,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
"The system involves a digital table with a tactile and interactive surface, providing several play areas. It simulates a village and offers different types of serious cognitive games: semantic memory",OTHER,NCT06781645,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Traditional Cognitive Rehabilitation,OTHER,NCT06793735,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Transcranial pulse stimulation (TPS),OTHER,NCT05762926,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Water Immersion Heat Therapy,OTHER,NCT06023407,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Wismemo,DIETARY_SUPPLEMENT,NCT04094129,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
brain polypeptide solution,DIETARY_SUPPLEMENT,NCT03978338,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
caprylidene,DIETARY_SUPPLEMENT,NCT01122329,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
caregiver questionnaire,OTHER,NCT02759887,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
copper,DIETARY_SUPPLEMENT,NCT00608946,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
cycloastragenol,DIETARY_SUPPLEMENT,NCT02530255,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
depression app for care partners of persons with dementia,OTHER,NCT07631247,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
digital sensor of Nociception Level Index,OTHER,NCT04614532,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
iPad,OTHER,NCT02300584,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
intervention with this name in MindEase app,OTHER,NCT05850975,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
lutein/zeaxanthin,DIETARY_SUPPLEMENT,NCT00596024,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
lyophilized blueberry supplement,DIETARY_SUPPLEMENT,NCT05172128,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
mHealth Supportive Care Program,OTHER,NCT06785857,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
melatonin,DIETARY_SUPPLEMENT,NCT03954899,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
omega-3 polyunsaturated fatty acids ( EPA+DHA),DIETARY_SUPPLEMENT,NCT00628017,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
rtfMRI neurofeedback training,OTHER,NCT03070821,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
sulforaphane,DIETARY_SUPPLEMENT,NCT04213391,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
tDCS,OTHER,NCT02518412; NCT03670615,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
tDCS + CR,OTHER,NCT02386670,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
tDCS associated with Tcog,OTHER,NCT04220593,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
transcranial magnetic stimulation,OTHER,NCT03612622; NCT06524817; NCT07138677; NCT07692542,4,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
tributyrin,DIETARY_SUPPLEMENT,NCT06797817,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
use of PancreasPlus app,OTHER,NCT07532590,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
θ burst transcranial magnetic stimulation,OTHER,NCT04754152,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
