raw_intervention_name,normalized_name,nct_ids,clinicaltrials_intervention_type,previous_drug_type,new_pipeline_scope,scope_reason,scope_method,scope_confidence,dashboard_eligible,manual_review_required
Photobiomodulation REGEnLIFE RGn530 device,photobiomodulation regenlife rgn530 device,NCT03672474,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
SHAM REGEnLIFE RGn530 device,sham regenlife rgn530 device,NCT03672474,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Guanfacine,guanfacine,NCT03116126,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Gamma tACS (40 Hz) over the superior parietal cortex,gamma tacs 40 hz over the superior parietal cortex,NCT04515433; NCT04842955; NCT05326750,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Jumpstart Guide,jumpstart guide,NCT05596760,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Music Therapy,music therapy,NCT00448318; NCT04327778,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Alzheimer Disease (AD),alzheimer disease ad,NCT06619613,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
JNJ-63733657,jnj 63733657,NCT03375697; NCT04619420,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
VR-based multi-dimensional intervention,vr based multi dimensional intervention,NCT07064382,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Actigraphy,actigraphy,NCT02759887; NCT03053908,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Nocturnal Polysomnograpahy (NPSG),nocturnal polysomnograpahy npsg,NCT03053908,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Combination of aerobic and strength exercises,combination of aerobic and strength exercises,NCT02520232,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Stretching and balance exercise program,stretching and balance exercise program,NCT02520232,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Neramexane,neramexane,NCT00090116,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Challenge A - low calorie Ensure®,challenge a low calorie ensure,NCT03204604,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Challenge B - Ensure® plus ketone esters (KE),challenge b ensure plus ketone esters ke,NCT03204604,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
PET Scan,pet scan,NCT02516046; NCT02795780; NCT03204604,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Cognitive Testing - FCSRT,cognitive testing fcsrt,NCT03204604,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Story Recall,story recall,NCT03204604,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
BVRT,bvrt,NCT03204604,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
CogState One Card Learning,cogstate one card learning,NCT03204604,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Ketogenic diet,ketogenic diet,NCT06681948,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
An eye tracking experiment,an eye tracking experiment,NCT02557464,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
A neuropsychological evaluation,a neuropsychological evaluation,NCT02557464,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
E2609,e2609,NCT01294540; NCT01600859; NCT01716897; NCT02322021; NCT02859207,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
KarXT,karxt,NCT05511363; NCT05980949; NCT06126224; NCT06585787; NCT06937229; NCT06947941; NCT06976203; NCT06976216,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
KarX-EC,karx ec,NCT06937229; NCT06947941; NCT06976203; NCT06976216,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Combined metabolic activators,combined metabolic activators,NCT07062198,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Collagen and maltodextrin,collagen and maltodextrin,NCT07062198,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
RO7269162,ro7269162,NCT06402838,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
ABT-957,abt 957,NCT02220738; NCT02573740,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Placebo for ABT-957,placebo for abt 957,NCT02220738,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Lithium,lithium,NCT00088387; NCT02129348,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
florbetapir F 18,florbetapir f 18,NCT00702143; NCT00855868; NCT00857415; NCT00857506; NCT01447719; NCT01518374; NCT01550549; NCT01564706; NCT01565291; NCT01565330; NCT01565343; NCT01565356; NCT01565369; NCT01565382; NCT02016560; NCT02051764; NCT02051790; NCT03019536; NCT04474405,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Lifestyle remodeling Intervention,lifestyle remodeling intervention,NCT04162990,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Does Comparator: regular treatment,does comparator regular treatment,NCT04162990,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
ML-007C-MA,ml 007c ma,NCT06887192; NCT07459660,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
IntelliCare,intellicare,NCT02176226; NCT02801877,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Yeast beta-glucan,yeast beta glucan,NCT06083350,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Starch,starch,NCT06083350,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
home-based active tDCS,home based active tdcs,NCT04855643,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
home-based sham tDCS,home based sham tdcs,NCT04855643,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
GENUS,genus,NCT05776641; NCT07496918,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Tactile GENUS,tactile genus,NCT07496918,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
PRX-03140,prx 03140,NCT00384423; NCT00672945; NCT00693004,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
GSI-953,gsi 953,NCT00441987; NCT00479219; NCT00547560,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
CARE-Well App,care well app,NCT04330482,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Internet Links,internet links,NCT04330482,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
CAD106,cad106,NCT00411580; NCT00733863; NCT00795418; NCT00956410; NCT01023685; NCT01097096,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
BMS-708163,bms 708163,NCT00726726; NCT00810147; NCT00860275; NCT00901498; NCT00979316; NCT01002079; NCT01039194; NCT01042314; NCT01057030; NCT01079819,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Rifampin,rifampin,NCT00715858; NCT01002079,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Psychoeducational skills training intervention,psychoeducational skills training intervention,NCT03144921; NCT06962111,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
transcranial direct current stimulation and naming training,transcranial direct current stimulation and naming training,NCT05509387,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
FMT capsule,fmt capsule,NCT06920212,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
"Pandora-1 app with high levels of personalization, interaction, monitoring and feedback",pandora 1 app with high levels of personalization interaction monitoring and feedback,NCT07185867,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
"Pandora-2 app with low levels of personalization, interaction, monitoring and feedback",pandora 2 app with low levels of personalization interaction monitoring and feedback,NCT07185867,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Fasudil,fasudil,NCT06362707,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
HEAL-122 microcurrent electroceutical with e-textile sports knee sleeve,heal 122 microcurrent electroceutical with e textile sports knee sleeve,NCT04938271,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
18F-AV-133,18f av 133,NCT01503944,DRUG,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
18F-AV-45,18f av 45,NCT01503944,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Active acupuncture,active acupuncture,NCT05078944,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Sham acupuncture,sham acupuncture,NCT05078944,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Donepezil Hydrochloride,donepezil hydrochloride,NCT00096473; NCT00165659; NCT00165724; NCT00165750; NCT00477659; NCT03073876; NCT03151382; NCT05078944; NCT07351773,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Systematic Lifestyle Intervention,systematic lifestyle intervention,NCT06492967,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Flexible Lifestyle Intervention,flexible lifestyle intervention,NCT06492967,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
transcranial pulse stimulation (TPS),transcranial pulse stimulation tps,NCT07143734,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
transcranial pulse stimulation (TPS-Sham),transcranial pulse stimulation tps sham,NCT07143734,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Caring Response App,caring response app,NCT04489303; NCT04517877,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Traditional Educational/Resources Program,traditional educational resources program,NCT04489303; NCT04517877; NCT05979922,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Skill Training Condition - problem solving training,skill training condition problem solving training,NCT00178165,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
REACH for TLC (Telephone Linked Computer) system,reach for tlc telephone linked computer system,NCT00178165,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Estrogen,estrogen,NCT00000176; NCT00000177; NCT00006399; NCT00018343,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
18-F-Flortaucipir,18 f flortaucipir,NCT03821857,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Caregiving condition,caregiving condition,NCT03049501,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Nutrition condition,nutrition condition,NCT03049501,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Hyperspectral camera,hyperspectral camera,NCT07529912; NCT07545473,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Longeveron Mesenchymal Stem Cells,longeveron mesenchymal stem cells,NCT02600130,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
CPC-201,cpc 201,NCT02185053; NCT02434666; NCT02860065,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
"Administer Leqemi 10 mg/kg, every two weeks.",administer leqemi 10 mg kg every two weeks,NCT07034222,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
California Cognitive Assessment Battery,california cognitive assessment battery,NCT04800588,DIAGNOSTIC_TEST,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,False,True
VX-745,vx 745,NCT02423122; NCT02423200; NCT03435861,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Levetiracetam (LEV),levetiracetam lev,NCT07477431,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[11C]RO6924963,11c ro6924963,NCT02187627,DRUG,uncertain,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
[11C]RO6931643,11c ro6931643,NCT02187627,DRUG,uncertain,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
[18F]RO6958948,18f ro6958948,NCT02187627; NCT02792179,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
RELOAD-C,reload c,NCT05460494,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Lipoic acid and fish oil concentrate,lipoic acid and fish oil concentrate,NCT01058941,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Zolpidem,zolpidem,NCT03075241,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Zoplicone,zoplicone,NCT03075241,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Rotigotine transdermal patch,rotigotine transdermal patch,NCT03250741,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
NEOD001,neod001,NCT02632786,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Fish Oil,fish oil,NCT00090402; NCT00867828,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Lipoic Acid,lipoic acid,NCT00090402,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Fish Oil Placebo,fish oil placebo,NCT00090402,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Lipoic Acid Placebo,lipoic acid placebo,NCT00090402,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Remote Exercise Sessions,remote exercise sessions,NCT07425769,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Caregiver Education Sessions,caregiver education sessions,NCT07425769,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
T3D-959,t3d 959,NCT02560753; NCT06964230,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Placebo Comparator,placebo comparator,NCT06964230,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
troriluzole,troriluzole,NCT03605667,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Placebo oral capsule,placebo oral capsule,NCT03185208; NCT03605667; NCT03710642; NCT03752463; NCT03790709; NCT03875638,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Astaxanthin,astaxanthin,NCT05015374,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Neurofeedback,neurofeedback,NCT03790774,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
transcranial magnetic stimulation,transcranial magnetic stimulation,NCT03612622; NCT06524817; NCT07138677; NCT07692542,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Propofol,propofol,NCT01640275; NCT01772537,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
isoflurane,isoflurane,NCT01640275; NCT01772537,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Aerobic exercise condition,aerobic exercise condition,NCT06584656,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Resistance exercise condition,resistance exercise condition,NCT06584656,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Traditional Proton fMRI,traditional proton fmri,NCT02638519,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Hyperpolarized Xenon-129 fMRI,hyperpolarized xenon 129 fmri,NCT02638519,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Hyperpolarized Xenon-129,hyperpolarized xenon 129,NCT02638519,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
1H-129Xe Dual-Tuned Quadrature Head Coil,1h 129xe dual tuned quadrature head coil,NCT02638519,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
"Rivastigmine transdermal patch (Exelon patch), memantine",rivastigmine transdermal patch exelon patch memantine,NCT01025466,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Questionnaire and Physical Exam,questionnaire and physical exam,NCT06902753,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
CT1812,ct1812,NCT02570997; NCT02907567; NCT03507790; NCT03522129; NCT04735536; NCT05248672; NCT05531656,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
galantamine ER,galantamine er,NCT00082602,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Spaced Retrieval Training,spaced retrieval training,NCT00593372; NCT04533204,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
MK-1942,mk 1942,NCT04308304; NCT05602727,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Docosahexaenoic acid,docosahexaenoic acid,NCT02541929,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Azeliragon 5mg,azeliragon 5mg,NCT02916056,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Mediterranean Diet,mediterranean diet,NCT02921672; NCT04440020,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
SB-742457,sb 742457,NCT00224497; NCT00348192; NCT00551772; NCT00708552,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[18F]APN-1607,18f apn 1607,NCT04141150; NCT05043675; NCT05542953; NCT07422857; NCT07752784,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
"StaCog, stage specific cognitive Intervention",stacog stage specific cognitive intervention,NCT01329601,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
booklet based training,booklet based training,NCT01329601,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
TTYP01 tables 60mg,ttyp01 tables 60mg,NCT07252440,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
TTYP01 tables 90mg,ttyp01 tables 90mg,NCT07252440,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
TTYP01 tables 0mg,ttyp01 tables 0mg,NCT07252440,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Activity matched to interest,activity matched to interest,NCT00388544,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Activity matched to function,activity matched to function,NCT00388544,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Activity matched to both interest and function,activity matched to both interest and function,NCT00388544,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Exercise - Social Media,exercise social media,NCT05613699,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Exercise - App,exercise app,NCT05613699,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Exercise - closed to patients residence,exercise closed to patients residence,NCT05613699,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Stories in the Moment Dance Program - Online,stories in the moment dance program online,NCT06221202,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
low-intensity rTMS,low intensity rtms,NCT05784298,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Tricaprilin,tricaprilin,NCT00142805; NCT03551769; NCT03971123; NCT04187547; NCT04268953; NCT05809908,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
APH-1105,aph 1105,NCT03806478,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Specialty Palliative Care,specialty palliative care,NCT02719938,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
2-hour period of hypoxia,2 hour period of hypoxia,NCT02891343,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
LOCK Sleep Program,lock sleep program,NCT05820919,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
No intervention (control period/baseline data collection),no intervention control period baseline data collection,NCT05820919,OTHER,other,Non-Drug Intervention,"non-treatment control arm (e.g. no intervention / untreated / usual care), not a product",rule_classification,high,False,False
EXV-802,exv 802,NCT07284472,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
EXV-801,exv 801,NCT07284472,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
DVA,dva,NCT02663531,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
