dashboard_display_name,nih_agent,match_tier,canonical_name_differs,dashboard_drug_type,nih_modality,drug_type_conflict,dashboard_target,nih_cadro,nih_cadro_mapped_target,target_conflict,dashboard_sponsor,nih_sponsor,company_conflict,dashboard_phase,nih_phase,phase_conflict,nih_mechanism_of_action
Choline,Choline,exact_canonical,False,Small Molecule,small molecule,False,Other,Metabolism and bioenergetics,Metabolism,True,Paul E Schulz,Paul E Schulz,False,Phase 1,Phase 1,False,Stabilizes lipid metabolism and restores cell function by increasing phosphatidylcholine activity
CM383,CM383,exact_canonical,False,Biologic,biologic,False,Other,Amyloid‐beta,Amyloid,True,Keymed Biosciences Co.Ltd,Keymed Biosciences Co.Ltd; Keymed Biosciences Co.Ltd,False,Phase 1,Phase 1,False,Anti‐amyloid monoclonal antibody
CpG1018,CpG1018,exact_canonical,False,Small Molecule,biologic,True,Other,Inflammation,Inflammation,True,NYU Langone Health,NYU Langone Health,False,Phase 1,Phase 1,False,Toll‐like receptor agonist that increases phagocytosis by microglia
ION269,ION269,exact_canonical,False,Small Molecule,biologic,True,Other,Amyloid‐beta,Amyloid,True,"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc.",False,Phase 1,Phase 1,False,Antisense oligonucleotide directed at amyloid precursor protein
J4,J4,exact_canonical,False,Small Molecule,small molecule,False,Other,Synaptic plasticity/neuroprotection,Neuroprotection,True,"Academia Sinica, Taiwan","Academia Sinica, Taiwan",False,Phase 1,Phase 1,False,Regulates neuronal excitability by modulating synaptic transmission
Leucettinib-21,Leucettinib‐21,normalized_exact,True,Small Molecule,small molecule,False,Other,Tau,Tau,True,Perha Pharmaceuticals,Perha Pharmaceuticals,False,Phase 1,Phase 1,False,Antagonizes activity of the protein (DYRK1A protein kinase) derived from the DYRK1A gene to decrease tau hyperphosphorylation
LX1001,LX1001,exact_canonical,False,Biologic,biologic,False,Amyloid,Epigenetic regulators,no_dashboard_equivalent,False,Lexeo Therapeutics,Lexeo Therapeutics,False,Phase 2,Phase 1,True,AAV gene transfer vector expressing the cDNA coding for human APOE2 directly to the CNS/CSF of APOE4 homozygotes with AD
LY03017,LY03017,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Neuropsychiatric,True,Luye Pharma Group Ltd.,Luye Pharma Group Ltd.; Luye Pharma Group Ltd.; Luye Pharma Group Ltd.,False,Phase 1,Phase 1,False,5‐HT2A receptor inverse agonist and 5‐HT2C receptor antagonist
LY3954068,LY3954068,exact_canonical,False,Small Molecule,biologic,True,Tau,Undisclosed,no_dashboard_equivalent,False,Eli Lilly and Company,Eli Lilly and Company,False,Phase 1,Phase 1,False,Undisclosed
LY4006895,LY4006895,exact_canonical,False,Small Molecule,biologic,True,Other,Undisclosed,no_dashboard_equivalent,False,Eli Lilly and Company,Eli Lilly and Company,False,Phase 1,Phase 1,False,Undisclosed
MIB-626,MIB‐626,normalized_exact,True,Small Molecule,small molecule,False,Metabolism,Oxidative stress,no_dashboard_equivalent,False,Brigham and Women's Hospital,Brigham and Women's Hospital,False,Phase 2,Phase 1,True,Decreases oxidative stress to improve mitochondrial function and autophagy leading to reduction of amyloid‐beta plaques and decreased tau tangles
Mivelsiran,Mivelsiran,exact_canonical,False,Small Molecule,biologic,True,Other,Amyloid‐beta,Amyloid,True,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,False,Phase 2,Phase 1,True,RNAi to decrease APP and downstream Aβ‐related events
Nicotinamide riboside,Nicotinamide riboside,exact_canonical,False,Small Molecule,small molecule,False,Metabolism,Metabolism and bioenergetics,Metabolism,False,Mclean Hospital,Mclean Hospital,False,Phase 1,Phase 1,False,Mitochondrial function enhancer and antioxidant
NIO752,NIO752,exact_canonical,False,Small Molecule,biologic,True,Tau,Tau,Tau,False,"Novartis Pharmaceuticals; University College, London","Novartis Pharmaceuticals; University College, London",False,Phase 1,Phase 1,False,Anti‐tau antisense oligonucleotide
Phenserine,Phenserine,exact_canonical,False,Small Molecule,small molecule,False,Symptomatic,Cell death,no_dashboard_equivalent,False,Helse Stavanger HF,Helse Stavanger HF,False,Phase 1,Phase 1,False,Translational regulation of APP to decrease Aβ and cell death; cholinesterase inhibitor
PMN310,PMN310,exact_canonical,False,Small Molecule,biologic,True,Other,Amyloid‐beta,Amyloid,True,"ProMis Neurosciences, Inc","ProMis Neurosciences, Inc",False,Phase 1,Phase 1,False,Humanized immunoglobulin monoclonal antibody directed at oligomeric amyloid species
Psilocybin,Psilocybin,exact_canonical,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,Johns Hopkins University; National Institute on Aging (NIA),Johns Hopkins University,False,Phase 2,Phase 1,True,Serotonin 2A receptor (5‐HT2A) agonist
Recombinant Human Serum Albumin,Recombinant human serum albumin,normalized_exact,True,Small Molecule,biologic,True,Other,Oxidative stress,no_dashboard_equivalent,False,Protgen Ltd,Protgen Ltd,False,Phase 1,Phase 1,False,Delivers antioxidant properties of albumin
RO7812653,RO7812653,exact_canonical,False,Small Molecule,biologic,True,Other,"APOE, lipids, and lipoprotein receptors",no_dashboard_equivalent,False,Hoffmann-La Roche,Hoffmann‐La Roche,False,Phase 1,Phase 1,False,ASO to selectively reduce apolipoprotein E mRNA in the brain
THN391,THN391,exact_canonical,False,Small Molecule,biologic,True,Other,Inflammation,Inflammation,True,"Therini Bio, Inc.","Therini Bio, Inc.",False,Phase 1,Phase 1,False,Anti‐fibrin antibody blocks binding of fibrin to reduce activation of microglia
