NCT Number,Sponsor,Study Title,intervention_type,intervention_name,normalized_name,classification,classification_reason,official_pipeline_match,matched_pipeline_drug,official_source_url,verification_status,confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT05886114,Zhejiang University,"A Multi-domain Lifestyle Intervention Among Aged Community-residents in Zhejiang, China",BEHAVIORAL,Structured Multi-domain Intervention,structured multi domain intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT05886114,Zhejiang University,"A Multi-domain Lifestyle Intervention Among Aged Community-residents in Zhejiang, China",BEHAVIORAL,Self-Guided Intervention,self guided intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03784300,Pain Therapeutics,A Safety Study of PTI-125 in Healthy Volunteers,DRUG,50 mg PTI-125,50 mg pti 125,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT03784300,Pain Therapeutics,A Safety Study of PTI-125 in Healthy Volunteers,DRUG,100 mg PTI-125,100 mg pti 125,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT03784300,Pain Therapeutics,A Safety Study of PTI-125 in Healthy Volunteers,DRUG,200 mg PTI-125,200 mg pti 125,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT02648672,Tetra Discovery Partners,BPN14770 Single Ascending Dose Study in Healthy Male and Female Subjects,DRUG,BPN14770,bpn14770,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02648672,Tetra Discovery Partners,BPN14770 Single Ascending Dose Study in Healthy Male and Female Subjects,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT06484244,Emory University,Locomotion Adaptation Deficits in Older Adults With Mild Cognitive Impairment and Alzheimers Disease,OTHER,5 Sessions of Split-belt Treadmill-based Locomotor Adaptation,5 sessions of split belt treadmill based locomotor adaptation,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05102565,"University of California, Los Angeles",A Dyadic Telehealth Program for Alzheimer's Patients/Caregivers,BEHAVIORAL,sleep education program,sleep education program,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03184467,GemVax & Kael,Clinical Trial to Evaluate the Efficacy and Safety of GV1001 in Alzheimer Patients,DRUG,Normal Saline 0.9%,normal saline 0 9,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT03184467,GemVax & Kael,Clinical Trial to Evaluate the Efficacy and Safety of GV1001 in Alzheimer Patients,DRUG,GV1001 0.56 mg,gv1001 0 56 mg,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03184467,GemVax & Kael,Clinical Trial to Evaluate the Efficacy and Safety of GV1001 in Alzheimer Patients,DRUG,GV1001 1.12 mg,gv1001 1 12 mg,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03672201,Centre for Addiction and Mental Health,Standardizing Care for Neuropsychiatric Symptoms and Quality of Life in Dementia,BEHAVIORAL,Non-Pharmacological Intervention,non pharmacological intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03672201,Centre for Addiction and Mental Health,Standardizing Care for Neuropsychiatric Symptoms and Quality of Life in Dementia,OTHER,Pharmacological Intervention,pharmacological intervention,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07191028,Moleac Pte Ltd.,Alzheimer's Disease THErapy With NEuroaid II,DRUG,MLC 901,mlc 901,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07191028,Moleac Pte Ltd.,Alzheimer's Disease THErapy With NEuroaid II,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT06421545,Icahn School of Medicine at Mount Sinai,Resilient Together for Dementia,BEHAVIORAL,Resilient Together for Dementia,resilient together for dementia,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00401167,Sunnybrook Health Sciences Centre,Memantine for Agitation and Aggression in Severe Alzheimer's Disease,DRUG,memantine,memantine,investigational_therapeutic_unverified,"only non-placebo therapeutic in the trial; approved Alzheimer's medicine with no combination partner found, so it may be the treatment under study",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03984396,Kaiser Permanente,Optimal Medication Management in Alzheimer's Disease and Dementia,OTHER,Educational Materials - Patient & Clinician,educational materials patient clinician,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT05292222,HealthPartners Institute,Transmagnetic Stimulation Pilot in Early Stage Alzheimer's Disease,DEVICE,Intermittent theta burst stimulation,intermittent theta burst stimulation,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT00672945,"Epix Pharmaceuticals, Inc.",A Study of PRX-03140 in Subjects With Alzheimer's Disease Receiving a Stable Dose of Donepezil,DRUG,PRX-03140,prx 03140,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00672945,"Epix Pharmaceuticals, Inc.",A Study of PRX-03140 in Subjects With Alzheimer's Disease Receiving a Stable Dose of Donepezil,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT02921672,University of Kansas Medical Center,Feasibility Trial of a Mediterranean Diet Pattern to Prevent Cognitive Decline,OTHER,Mediterranean Diet,mediterranean diet,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01343966,"Genentech, Inc.",A Study to Evaluate the Efficacy and Safety of MABT5102A in Patients With Mild to Moderate Alzheimer's Disease (ABBY),DRUG,MABT5102A,mabt5102a,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01343966,"Genentech, Inc.",A Study to Evaluate the Efficacy and Safety of MABT5102A in Patients With Mild to Moderate Alzheimer's Disease (ABBY),DRUG,MABT5102A,mabt5102a,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01343966,"Genentech, Inc.",A Study to Evaluate the Efficacy and Safety of MABT5102A in Patients With Mild to Moderate Alzheimer's Disease (ABBY),DRUG,placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT01343966,"Genentech, Inc.",A Study to Evaluate the Efficacy and Safety of MABT5102A in Patients With Mild to Moderate Alzheimer's Disease (ABBY),DRUG,placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT05723172,Che-Sheng Chu,40Hz tACS in Treating Cognitive Function and Modulating Neurophysiology of Patients With Alzheimer's Disease,DEVICE,active tACS,active tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT05723172,Che-Sheng Chu,40Hz tACS in Treating Cognitive Function and Modulating Neurophysiology of Patients With Alzheimer's Disease,DEVICE,sham tACS,sham tacs,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00965588,United Biomedical,"Study to Evaluate Safety, Tolerability and Immunogenicity of Vaccine (UB 311) in Subjects With Alzheimer's Disease",BIOLOGICAL,UB 311,ub 311,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03900273,New York State Psychiatric Institute,Development of Novel Measures for Alzheimer's Disease Prevention Trials,OTHER,"No Practice Effects (NPE) cognitive battery, and Miami Computerized Functional Assessment Scale (CFAS)",no practice effects npe cognitive battery and miami computerized functional assessment scale cfas,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03900273,New York State Psychiatric Institute,Development of Novel Measures for Alzheimer's Disease Prevention Trials,OTHER,"Preclinical Alzheimer's Cognitive Composite (PACC), Alzheimer's Disease Assessment Scale-Cognitive Scale (ADAS-Cog), and Functional Assessment Questionnaire (FAQ)",preclinical alzheimer s cognitive composite pacc alzheimer s disease assessment scale cognitive scale adas cog and functional assessment questionnaire faq,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03195894,Kontigo Care AB,Clinical Study of TripleA for Treatment of Alcohol Addiction in Outpatient Care,DEVICE,TripleA,triplea,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06385951,"University Hospital, Ghent",Spatial Navigation for the Early Detection of Alzheimer's Disease.,DIAGNOSTIC_TEST,Procedure for patients,procedure for patients,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,True,
NCT06385951,"University Hospital, Ghent",Spatial Navigation for the Early Detection of Alzheimer's Disease.,DIAGNOSTIC_TEST,Procedure for healthy controls,procedure for healthy controls,other,"non-treatment control arm (e.g. no intervention / untreated / usual care), not a therapeutic product",False,,,not_applicable,high,False,Non-Drug Intervention,"non-treatment control arm (e.g. no intervention / untreated / usual care), not a product",rule_classification,high,False,
NCT06378372,David Franco Castellanos,How Does Pianistic Musical Training Influence the Development of Alzheimer's Disease?,BEHAVIORAL,Music therapy based on piano learning,music therapy based on piano learning,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01133405,Eli Lilly and Company,A Safety Study of LY2886721 Single Doses in Healthy Subjects,DRUG,LY2886721,ly2886721,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01133405,Eli Lilly and Company,A Safety Study of LY2886721 Single Doses in Healthy Subjects,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04457973,Florida State University,Home-based Transcranial Direct Current Stimulation for Pain Management in Persons With Alzheimer's Disease and Related Dementias,DEVICE,Active tDCS,active tdcs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT04457973,Florida State University,Home-based Transcranial Direct Current Stimulation for Pain Management in Persons With Alzheimer's Disease and Related Dementias,DEVICE,Sham tDCS,sham tdcs,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT03129269,"University Hospital, Toulouse",Cognitive Function and Prevalence of Amyloid Marker in Frail Older Adults,PROCEDURE,MRI and PET scan,mri and pet scan,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT03080051,Molecular NeuroImaging,Evaluation of [18F]MNI-952 as a Potential PET Radioligand for Imaging Tau Protein in the Brain,DRUG,[18F]MNI-952,18f mni 952,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,Tau PET tracer
NCT03080051,Molecular NeuroImaging,Evaluation of [18F]MNI-952 as a Potential PET Radioligand for Imaging Tau Protein in the Brain,DRUG,[18F]Florbetapir,18f florbetapir,diagnostic_or_imaging_agent,matches a curated diagnostic/imaging tracer name,False,,,not_applicable,high,False,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,Amyloid PET tracer
NCT04023942,Technical University of Munich,Personalized Nutrition and eHealth: Lifestyle Intervention (LION) Study for Weight Loss Maintenance,BEHAVIORAL,Weight maintenance intervention,weight maintenance intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06245031,"Cognito Therapeutics, Inc.","Extension to a Pivotal Study of Sensory Stimulation in Alzheimer's Disease (OLE Hope Study, CA-0015)",DEVICE,Sensory Stimulation System (GS120) - Active,sensory stimulation system gs120 active,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT04004702,Walter Reed National Military Medical Center,Levetiracetam for Alzheimer's Disease Neuropsychiatric Symptoms Related to Epilepsy Trial (LAPSE),DRUG,Levetiracetam,levetiracetam,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01795339,AstraZeneca,A Two-part Multiple Dose Study to Assess the Safety and Effects of AZD3293 in Healthy Elderly and Alzheimer's Patients,DRUG,AZD3293,azd3293,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01795339,AstraZeneca,A Two-part Multiple Dose Study to Assess the Safety and Effects of AZD3293 in Healthy Elderly and Alzheimer's Patients,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00611312,University of Kansas,Effects of Delivery Mode of Cognition Intervention in Early Alzheimer's Disease,BEHAVIORAL,Cognitive Training,cognitive training,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06733181,University of Coimbra,The REMINDER Program for Older Adults Supported by Residential and Daycare Facilities,OTHER,REMINDER intervention,reminder intervention,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00190372,Assistance Publique - Hôpitaux de Paris,AIDMA: A Psycho-educational Program Designed to Support and Train Carers of Alzheimer's Disease (AD) Patients,BEHAVIORAL,Controlled diet,controlled diet,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00190372,Assistance Publique - Hôpitaux de Paris,AIDMA: A Psycho-educational Program Designed to Support and Train Carers of Alzheimer's Disease (AD) Patients,BEHAVIORAL,Self-hypnotic relaxation,self hypnotic relaxation,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00955409,Pfizer,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL,ACC-001(3µg) + QS21,acc 001 3 g qs21,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00955409,Pfizer,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL,ACC-001(10µg) + QS21,acc 001 10 g qs21,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00955409,Pfizer,"Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",BIOLOGICAL,ACC-001(30µg) + QS21,acc 001 30 g qs21,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02910739,Merck Sharp & Dohme LLC,An Open-Label Study Investigating MK-8931 in Participants With Mild and Moderate Hepatic Insufficiency (MK-8931-016),DRUG,MK-8931,mk 8931,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00056628,Eunoe,COGNIShunt® System for Alzheimer's Disease,DEVICE,The COGNIShunt® System,the cognishunt system,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT00548145,Osaka University,The Clinical Study of Pitavastatin Treatment for Group of Mild to Moderate Alzheimer's Disease,DRUG,Pitavastatin,pitavastatin,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00548145,Osaka University,The Clinical Study of Pitavastatin Treatment for Group of Mild to Moderate Alzheimer's Disease,DRUG,"cholesterol-lowering medicine other than statin(e.g.,Ezetimibe,Colestimide)",cholesterol lowering medicine other than statin e g ezetimibe colestimide,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT02360657,Janssen Pharmaceutical K.K.,Study Investigating the Effects of JNJ-54861911 on Amyloid-beta Processing in Cerebrospinal Fluid (CSF) and Plasma in Japanese Participants Asymptomatic at Risk for Alzheimer Dementia,DRUG,"JNJ-54861911, 10 mg",jnj 54861911 10 mg,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02360657,Janssen Pharmaceutical K.K.,Study Investigating the Effects of JNJ-54861911 on Amyloid-beta Processing in Cerebrospinal Fluid (CSF) and Plasma in Japanese Participants Asymptomatic at Risk for Alzheimer Dementia,DRUG,"JNJ-54861911, 50 mg",jnj 54861911 50 mg,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02360657,Janssen Pharmaceutical K.K.,Study Investigating the Effects of JNJ-54861911 on Amyloid-beta Processing in Cerebrospinal Fluid (CSF) and Plasma in Japanese Participants Asymptomatic at Risk for Alzheimer Dementia,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04019665,"Centre Hospitalier Universitaire, Amiens",Self-screening of Cognitive Impairment in Primary Care,OTHER,MMSE (mini mental state examination),mmse mini mental state examination,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT04019665,"Centre Hospitalier Universitaire, Amiens",Self-screening of Cognitive Impairment in Primary Care,OTHER,SAGE (Self-Administered Gerocognitive Exam),sage self administered gerocognitive exam,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT06492109,First Affiliated Hospital of Zhejiang University,The Peripheral Blood Multi-Omics Study on Sleep Loss,BEHAVIORAL,Sleep manipulation,sleep manipulation,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06099587,Rennes University Hospital,MIMA Pilot Study: MIcrostructure of the Medial Temporal Lobe in Early Alzheimer's Disease,DIAGNOSTIC_TEST,high-resolution diffusion MRI,high resolution diffusion mri,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT00804271,Merz Pharmaceuticals GmbH,Memantine and Validation of a New Alzheimer's Disease Scale,DRUG,memantine,memantine,investigational_therapeutic_unverified,"only non-placebo therapeutic in the trial; approved Alzheimer's medicine with no combination partner found, so it may be the treatment under study",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07208734,"Xuanwu Hospital, Beijing",Personalized Brain Stimulation for Cognitive Impairment in Older Adults,DEVICE,Transcranial Alternating Current Stimulation (tACS),transcranial alternating current stimulation tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT07208734,"Xuanwu Hospital, Beijing",Personalized Brain Stimulation for Cognitive Impairment in Older Adults,OTHER,AI-based Cognitive Training,ai based cognitive training,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT07208734,"Xuanwu Hospital, Beijing",Personalized Brain Stimulation for Cognitive Impairment in Older Adults,OTHER,Sham intervention,sham intervention,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT07011732,Bristol-Myers Squibb,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-1),DRUG,Xanomeline/Trospium Chloride Capsule,xanomeline trospium chloride capsule,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07011732,Bristol-Myers Squibb,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-1),DRUG,Xanomeline Enteric Capsule,xanomeline enteric capsule,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07011732,Bristol-Myers Squibb,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-1),DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
